study_id,kernel,boundary_pixels,white_boundary_pixels,white_boundary_pct
10_02,9,607,8,1.3179571663920921
10_02,10,602,8,1.3289036544850499
10_03,0,999,362,36.23623623623624
10_03,5,978,303,30.98159509202454
10_03,9,958,4,0.4175365344467641
10_03,10,952,4,0.42016806722689076
10_04,0,834,493,59.11270983213429
10_04,5,813,214,26.322263222632227
10_04,9,792,0,0.0
10_04,10,787,0,0.0
11_02,0,1211,401,33.11312964492155
11_02,5,1188,292,24.579124579124578
11_02,9,1157,0,0.0
11_02,10,1149,0,0.0
12_01,0,548,309,56.386861313868614
12_01,5,528,105,19.886363636363637
12_01,9,506,8,1.5810276679841897
12_01,10,501,8,1.596806387225549
12_02,0,600,273,45.5
12_02,5,580,167,28.79310344827586
12_02,9,560,0,0.0
12_02,10,555,0,0.0
12_03,0,556,243,43.70503597122302
12_03,5,535,106,19.813084112149532
12_03,9,516,0,0.0
12_03,10,511,0,0.0
12_04,0,1054,425,40.32258064516129
12_04,5,1036,311,30.01930501930502
12_04,9,1017,0,0.0
12_04,10,1011,0,0.0
13_01,0,554,330,59.56678700361011
13_01,5,536,97,18.097014925373134
13_01,9,515,0,0.0
13_01,10,509,0,0.0
13_02,0,1212,426,35.148514851485146
13_02,5,1189,340,28.595458368376786
13_02,9,1169,8,0.6843455945252352
13_02,10,1164,8,0.6872852233676976
13_03,0,1477,550,37.23764387271496
13_03,5,1453,512,35.237439779766
13_03,9,1427,6,0.4204625087596356
13_03,10,1422,6,0.4219409282700422
14_01,0,543,354,65.19337016574586
14_01,5,524,108,20.610687022900763
14_01,9,500,0,0.0
14_01,10,494,0,0.0
14_02,0,910,460,50.54945054945055
14_02,5,889,206,23.172103487064117
14_02,9,867,0,0.0
14_02,10,862,0,0.0
14_03,0,1394,747,53.58680057388809
14_03,5,1374,351,25.54585152838428
14_03,9,1352,11,0.8136094674556213
14_03,10,1346,11,0.8172362555720654
14_04,0,900,347,38.55555555555556
14_04,5,866,253,29.214780600461893
14_04,9,839,14,1.66865315852205
14_04,10,829,18,2.1712907117008444
14_05,0,816,524,64.2156862745098
14_05,5,796,121,15.201005025125628
14_05,9,774,3,0.3875968992248062
14_05,10,770,0,0.0
14_06,0,683,358,52.41581259150805
14_06,5,662,185,27.94561933534743
14_06,9,640,2,0.3125
14_06,10,634,2,0.31545741324921134
15_01,0,857,297,34.65577596266044
15_01,5,832,247,29.6875
15_01,9,803,0,0.0
15_01,10,786,0,0.0
15_02,0,1116,422,37.81362007168459
15_02,5,1097,321,29.2616226071103
15_02,9,1074,7,0.6517690875232774
15_02,10,1069,7,0.6548175865294668
16_01,0,449,251,55.902004454342986
16_01,5,423,112,26.47754137115839
16_01,9,387,10,2.5839793281653747
16_01,10,382,10,2.6178010471204187
16_02,0,661,342,51.73978819969743
16_02,5,642,217,33.8006230529595
16_02,9,619,0,0.0
16_02,10,613,0,0.0
17_01,0,673,367,54.53194650817236
17_01,5,655,169,25.801526717557252
17_01,9,634,0,0.0
17_01,10,629,0,0.0
17_02,0,537,257,47.858472998137806
17_02,5,514,116,22.56809338521401
17_02,9,487,10,2.0533880903490758
17_02,10,482,10,2.074688796680498
18_01,0,1070,403,37.66355140186916
18_01,5,1047,319,30.46800382043935
18_01,9,1024,0,0.0
18_01,10,1017,0,0.0
18_02,0,1120,570,50.892857142857146
18_02,5,1098,281,25.591985428051
18_02,9,1079,0,0.0
18_02,10,1073,0,0.0
18_03,0,822,404,49.148418491484186
18_03,5,798,241,30.20050125313283
