study_id,orig_pixels,lost_pixels,lost_pct
28_03,2848,1433,50.31601123595506
27_01,5964,2414,40.476190476190474
14_01,5511,2111,38.30520776628561
33_03,3585,1304,36.373779637377964
56_03,8421,2947,34.995843724023274
16_01,5040,1708,33.888888888888886
08_01,10202,3339,32.728876690844935
07_02,8078,2622,32.45852933894528
01_05,7983,2536,31.767505950144056
55_02,3811,1150,30.175806874836002
